2026-02-25 19:51:31,779 - INFO - 🚀 Запуск скрипта. Лог-файл: c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\log\create_embedding_ollama_2026-02-25_19-51-31.txt
2026-02-25 19:51:32,183 - INFO - Загружен существующий кэш: c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\embeddings_ollama.pkl, строк: 103
2026-02-25 19:51:32,186 - INFO - Найдено markdown-файлов: 103
2026-02-25 19:51:32,186 - INFO - 2025-09-26.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,188 - INFO - 2025-09-29.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,188 - INFO - 2025-09-30.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,188 - INFO - 2025-10-01.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-02.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-03.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-06.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-07.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-08.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,189 - INFO - 2025-10-09.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,190 - INFO - 2025-10-10.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,190 - INFO - 2025-10-13.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,190 - INFO - 2025-10-14.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,190 - INFO - 2025-10-15.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,190 - INFO - 2025-10-16.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,191 - INFO - 2025-10-17.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,191 - INFO - 2025-10-20.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,191 - INFO - 2025-10-21.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,191 - INFO - 2025-10-22.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,192 - INFO - 2025-10-23.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,192 - INFO - 2025-10-24.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,192 - INFO - 2025-10-27.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,193 - INFO - 2025-10-28.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,193 - INFO - 2025-10-29.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,193 - INFO - 2025-10-30.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,193 - INFO - 2025-10-31.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,193 - INFO - 2025-11-01.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,194 - INFO - 2025-11-03.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,194 - INFO - 2025-11-05.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,194 - INFO - 2025-11-06.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,194 - INFO - 2025-11-07.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,194 - INFO - 2025-11-10.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,195 - INFO - 2025-11-11.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,195 - INFO - 2025-11-12.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,195 - INFO - 2025-11-13.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,195 - INFO - 2025-11-14.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,195 - INFO - 2025-11-17.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-18.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-19.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-20.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-21.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-24.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-25.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,196 - INFO - 2025-11-26.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,197 - INFO - 2025-11-27.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,197 - INFO - 2025-11-28.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,197 - INFO - 2025-12-01.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,197 - INFO - 2025-12-02.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-03.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-04.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-05.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-08.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-09.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,198 - INFO - 2025-12-10.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-11.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-12.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-15.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-16.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-17.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,199 - INFO - 2025-12-18.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,200 - INFO - 2025-12-19.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,200 - INFO - 2025-12-22.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,200 - INFO - 2025-12-23.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,200 - INFO - 2025-12-24.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,200 - INFO - 2025-12-25.md: без изменений, взято из кэша. Время: 0.00 сек.
