2026-02-26 23:47:41,822 - INFO - 🚀 Запуск скрипта. Лог-файл: c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\log\create_markdown_files_2026-02-26_23-47-41.txt
2026-02-26 23:47:41,830 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_09.db
2026-02-26 23:47:41,862 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_10.db
2026-02-26 23:47:41,892 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_11.db
2026-02-26 23:47:41,917 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_12.db
2026-02-26 23:47:41,943 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2026_01.db
2026-02-26 23:47:41,959 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2026_02.db
2026-02-26 23:47:42,066 - INFO - Отфильтровано 3423 новостей по ключевым словам 'нефт' или 'газ'
2026-02-26 23:47:42,086 - INFO - Удалён последний markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-24.md
2026-02-26 23:47:42,105 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-26.md
2026-02-26 23:47:42,105 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-29.md
2026-02-26 23:47:42,105 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-30.md
2026-02-26 23:47:42,105 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-01.md
2026-02-26 23:47:42,105 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-02.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-03.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-06.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-07.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-08.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-09.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-10.md
2026-02-26 23:47:42,106 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-13.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-14.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-15.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-16.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-17.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-20.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-21.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-22.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-23.md
2026-02-26 23:47:42,107 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-24.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-27.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-28.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-29.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-30.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-31.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-01.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-03.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-05.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-06.md
2026-02-26 23:47:42,108 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-07.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-10.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-11.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-12.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-13.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-14.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-17.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-18.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-19.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-20.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-21.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-24.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-25.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-26.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-27.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-28.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-01.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-02.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-03.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-04.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-05.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-08.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-09.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-10.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-11.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-12.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-15.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-16.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-17.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-18.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-19.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-22.md
